DOI,First_author_last_name,Title,Journal,Contacted? Uploaded?,Notes,Primary_CHONe
10.3390/s111110534,Aguzzi,Automated Image Analysis for the Detection of Benthic Crustaceans and Bacterial Mat Coverage Using the VENUS Undersea Cabled Network,Sensors,,,
10.1016/j.dsr2.2013.07.001,Aranha,Growth rate variation and potential paleoceanographic proxies in Primnoa pacifica: Insights from high-resolution trace element microanalysis,Deep Sea Research Part II: Topical Studies in Oceanography,,,
10.1371/journal.pone.0012182,Archambault,From Sea to Sea: Canada's Three Oceans of Biodiversity,PLoS One,,,Archambault
10.1098/rspb.2010.0985,Bradbury,Parallel adaptive evolution of Atlantic cod in the eastern and western Atlantic Ocean in response to ocean temperature. ,Proceedings of the Royal Society Lond Biological Sciences B,X,,Bentzen
10.1111/j.1095-8312.2010.01533.x,Bradbury,Contrasting divergence and isolation in post-glacially derived bimodal allopatric and sympatric smelt populations. ,Biological Journal of the Linnaean Society,X,,Bentzen
10.1111/j.1755-0998.2010.02949.x,Bradbury,"Evaluating SNP ascertainment bias and its impact on population assignment in Atlantic cod, Gadus morhua",Molecular Ecology Resources,X,,Bentzen
10.3354/meps09286,Bradbury,Contemporary nuclear and mitochondrial genetic clines in a north temperate estuarine fish reflect Pleistocene vicariance,MEPS,X,,Bentzen
10.1111/eva.12026,Bradbury,Genomic islands of divergence and their consequences for the resolution of spatial structure in an exploited marine fish,Evolutionary Applications,X,,Bentzen
10.1016/j.seares.2012.04.009,Brown,"Multiple methods, maps, and management applications: Purpose made seafloor maps in support of ocean management",Journal of Sea Research,,,
10.1007/s00300-012-1164-9,Brown,Evidence for a pan-Arctic sea-ice diatom diet in Strongylocentrotus spp,Polar Biology,,,
10.1080/03632415.2012.696016,Burt,Interactive Field Site Visits Can Help Students Translate Scientific Studies into Contextual Understanding,Fisheries,,,
10.1111/j.1744-7410.2012.00262.x,Chu,"The dorid nudibranchs, Peltodoris lentiginosa and Archidoris odhneri, as predators of glass sponges.",Invertebrate Biology,X,,Leys
10.3354/meps09381,Chu,Glass sponge reefs as a silicon sink,MEPS,X,,Leys
10.3354/meps08794,Chu,"High resolution mapping of community structure in three glass sponge reefs (Porifera, Hexactinellida).",MEPS,X,,Leys
10.1016/j.jembe.2013.03.010,Civelek,Effects of temperature on larval swimming patterns regulate vertical distribution relative to thermoclines in Asterias rubens,Journal of Experimental Marine Biology and Ecology,,,Metaxas
10.1093/icesjms/fsn107,Clarke,"Back to the future: using landscape ecology to understand changing patterns of land use in Canada, and its effects on the sustainability of coastal ecosystems",ICES Journal of Marine Science,,,
10.1111/j.1365-294X.2011.05069.x,Colbeck,"Historical introgression and the role of selective vs. neutral processes in structuring nuclear genetic variation (AFLP) in a circumpolar marine fish, the capelin (Mallotus villosus)",Molecular Ecology,,,
10.1371/journal.pone.0027492,Comeau,Arctic Ocean Microbial Community Structure before and after the 2007 Record Sea Ice Minimum,PLoS One,,,
10.3354/meps09773,Cook,Use of fishes as sampling tools for understanding biodiversity and ecosystem functioning in the ocean,MEPS,,,
10.1016/j.jembe.2012.11.006,Cote,Elevated habitat quality reduces variance in fish community composition,Journal of Experimental Marine Biology and Ecology,,,
10.1016/j.jembe.2011.08.008,Daigle,Vertical distribution of marine invertebrate larvae in response to thermal stratification in the laboratory,Journal of Experimental Marine Biology and Ecology,X,,"Daigle, Metaxas"
10.1016/j.jembe.2012.09.004,Daigle,Modeling of the larval response of green sea urchins to thermal stratification using a random walk approach,Journal of Experimental Marine Biology and Ecology,X,,"Daigle, Metaxas"
10.1007/s10584-012-0483-8,Darnis,"Current state and trends in Canadian Arctic marine ecosystems: II. Heterotrophic food web, pelagic-benthic coupling, and biodiversity",Climatic Change,,,
10.4319/lom.2012.10.899,duPreez,A new video survey method of microtopographic laser scanning (MiLS) to measure small-scale seafloor bottom roughness,Limnology and Oceanography: Methods,,,"duPreez, Tunicliffe"
10.3354/meps09005,duPreez,"Shortspine thornyhead and rockfish (Scorpaenidae) distribution in response to substratum, biogenic structures and trawling",MEPS,,,"duPreez, Tunicliffe"
10.3354/meps09667,Filbee-Dexter,Hurricane-mediated defoliation of kelp beds and pulsed delivery of kelp detritus to offshore sedimentary habitats,MEPS,Y,,"Filbee-Dexter, Scheibling"
10.1016/j.pocean.2011.05.002,Forest,Biogenic carbon flows through the planktonic food web of the Amundsen Gulf (Arctic Ocean): A synthesis of field measurements and inverse modeling analyses,Progress in Oceanography,,,
10.1038/ismej.2009.134,Galand,Hydrography shapes bacterial biogeography of the deep Arctic Ocean,ISME Journal,,,
10.1111/j.1462-2920.2008.01822.x,Galand,Archaeal diversity and a gene for ammonia oxidation are coupled to oceanic circulation,Environmental Microbiology,,,
10.1038/ismej.2009.23,Galand,Unique archaeal assemblages in the Arctic Ocean unveiled by massively parallel tag sequencing,ISME Journal,,,
10.1073/pnas.0908284106,Galand,Ecology of the rare microbial biosphere of the Arctic Ocean,PNAS,,,
10.1109/OCEANSSYD.2010.5603995,Gobi,Towards Generalized Benthic Species Recognition and Quantification using Computer Vision,OCEANS 2010 IEEE - Sydney,,,
10.1890/12-0414.1,Harvey,Identity effects dominate the impacts of multiple species extinctions on the functioning of complex food webs,Ecology,,,
10.1016/j.ecss.2013.06.023,Hrycik,Dispersal kernel estimation: A comparison of empirical and modelled particle dispersion in a coastal marine system,"Estuarine, Coastal and Shelf Science",XX,,
10.1080/03632415.2012.695993,Jackson,Headliners: Mississippi's Pascagoula River Designated as a Model River in America's Great Outdoor Rivers Program,Fisheries,,,
10.1080/09670260902855873,Kaczmarska,"Morphological and molecular characteristics of selected species of Minidiscus (Bacillariophyta, Thalassiosiraceae)",European Journal of Phycology,,,
10.3354/meps09628,Kelly,Drift algal subsidies to sea urchins in low-productivity habitats,MEPS,,,
10.3354/meps08234,Kelly,Fatty acids tracers for native and invasive macroalgae in an experimental food web,MEPS,,,
10.1371/journal.pone.0013832,Kelly,Biodiversity of the Deep-Sea Continental Margin Bordering the Gulf of Maine (NW Atlantic): Relationships among Sub-Regions and to Shelf Systems,PLoS One,,,
10.1111/j.1462-2920.2010.02154.x,Kirchman,The structure of bacterial communities in the western Arctic Ocean as revealed by pyrosequencing of 16S rRNA genes,Environmental Microbiology,,,
10.3354/ab00366,Krumhansl,Spatial and temporal variation in grazing damage by the gastropod Lacuna vincta in Nova Scotian kelp beds,Aquatic Biology,X,,
10.1890/13-0228.1,Krumhansl,Modeling effects of climate change and phase shifts on detrital production of a kelp bed,Ecology,X,,
10.1016/j.jembe.2011.06.033,Krumhansl,Grazing damage and encrustation by an invasive bryozoan reduce the ability of kelps to withstand breakage by waves,Journal of Experimental Marine Biology and Ecology,X,,
10.3354/meps09940,Krumhansl,Production and fate of kelp detritus,MEPS,X,Review? data?,
10.3354/meps08905,Krumhansl,Detrital production in Nova Scotian kelp beds: patterns and processes,MEPS,X,,
10.3354/meps09671,Krumhansl,Detrital subsidy from subtidal kelp beds is altered by the invasive green alga Codium fragile ssp. fragile,MEPS,X,,
10.1371/journal.pone.0065394,Lacharite,Early Life History of Deep-Water Gorgonian Corals May Limit Their Abundance,PLoS One,X,,
10.1111/j.1751-908X.2013.00248.x,Lazartigues,LA-ICP-MS Analysis of Small Samples: Carbonate Reference Materials and Larval Fish Otoliths,Geostandards and Geoanalytical Research,,,
10.1126/science.1179798,Li,Smallest algae thrive as the Arctic Ocean freshens,Science,,,
10.5194/bgd-9-16933-2012,Link,Multivariate benthic ecosystem functioning in the Arctic - benthic fluxes explained by environmental parameters in the southeastern Beaufort Sea,Biogeosciences Discussions,X,,
10.1371/journal.pone.0074077,Link,"Are Hotspots Always Hotspots? The Relationship between Diversity, Resource and Ecosystem Functions in the Arctic",PLoS One,X,,
10.1007/s00300-011-1046-6,Link,Spring-to-summer changes and regional variability of benthic processes in the western Canadian Arctic,Polar Biology,X,,
10.3354/meps09983,Lloyd,Patterns in vertical distribution and their potential effects on transport of larval benthic invertebrates in a shallow embayment,MEPS,Y,,
10.3354/meps09872 ,Lloyd,Physical and biological factors affect the vertical distribution of larvae of benthic gastropods in a shallow embayment,MEPS,Y,,
10.1371/journal.pone.0045664,Luddington,Distance and Character-Based Evaluation of the V4 Region of the 18S rRNA Gene for the Identification of Diatoms (Bacillariophyceae),PLoS One,,,
10.1016/j.jembe.2011.02.041,Matabos,"Multi-parametric study of behavioural modulation in demersal decapods at the VENUS cabled observatory in Saanich Inlet, British Columbia, Canada. ",Journal of Experimental Marine Biology and Ecology,x,,
10.1371/journal.pone.0045626,Matabos,A Year in Hypoxia: Epibenthic Community Responses to Severe Oxygen Deficit at a Subsea Observatory in a Coastal Inlet,PLoS One,x,,
10.1016/j.dsr2.2013.05.026,Neves,"Mapping coral and sponge habitats on a shelf-depth environment using multibeam sonar and ROV video observations: Learmonth Bank, northern British Columbia, Canada",Deep Sea Research Part II: Topical Studies in Oceanography,,,
10.1017/S0025315412001683,O'Brien,responses to severe oxygen deficit at a subsea observatory in a coastel inlet.,Journal of the Marine Biological Association of the United Kingdom,X,,
10.1007/s00300-013-1369-6,Olivier,"A new species of Streptospinigera Kudenov, 1983 (Polychaeta, Syllidae, Anoplosyllinae) from the Arctic and north-western Atlantic with a key to all species of the genus",Polar Biology,,,
10.1139/cjfas-2013-0227,Ouellet,"Seasonal distribution, abundance, and growth of larval capelin (Mallotus villosus) and the role of the Lower Estuary (Gulf of St. Lawrence, Canada) as a nursery area",Canadian Journal of Fisheries and Aquatic Sciences,,,
10.1093/plankt/fbs042,Perrin,Assessing stable isotope dynamics of diapausing Calanus finmarchicus and C. hyperboreus during the overwintering period: a laboratory experiment,Journal of Plankton Research,,,
10.1007/s12526-010-0059-7,Piepenburg,Towards a pan-Arctic inventory of the species diversity of the macro- and megabenthic fauna of the Arctic shelf seas,Marine Biodiversity,,,
10.1111/j.1600-0706.2013.00631.x,Piot,Meiofauna affect the macrobenthic biodiversity–ecosystem functioning relationship,Oikos,,,
10.1111/j.1550-7408.2008.00386.x,Potvin,PCR-Based Diversity Estimates of Artificial and Environmental 18S rRNA Gene Libraries,Journal of Eukaryotic Microbiology,,,
10.1111/j.1462-2920.2008.01846.x,Pouliot,Vertical structure of archaeal communities and the distribution of ammonia monooxygenase A gene variants in two meromictic High Arctic lakes,Environmental Microbiology,,,
10.3390/d2040450,Radulovici ,DNA Barcodes for Marine Biodiversity: Moving Fast Forward?,Diversity,,,
10.1016/j.jembe.2012.03.019,Robert,Small-scale thermal responses of hydrothermal vent polynoid polychaetes: Preliminary in situ experiments and methodological development,Journal of Experimental Marine Biology and Ecology,,,
10.3354/meps09623,Robert,Surface-sediment bioturbation quantified with cameras on the NEPTUNE Canada cabled observatory,MEPS,,,
10.5194/bgd-9-3881-2012,Rontani,Degradation state of organic matter in surface sediments from the Beaufort Shelf: a lipid approach,Biogeosciences Discussions,,,
10.1111/j.1439-0485.2011.00480.x,Roy,Changes in vertical distribution and aggregative behaviour in response to population density for larval sea urchins (Strongylocentrotus droebachiensis) and sea stars (Asterias rubens),Marine Ecology,,,"Metaxas, Daigle, Roy"
10.1017/S0025315412000768,Short,"Predation of larval benthic invertebrates in St George’s Bay, Nova Scotia",Journal of the Marine Biological Association of the United Kingdom,,,
10.1080/03632415.2012.696002,Snelgrove,Canadian Healthy Oceans Network (CHONe): An Academic–Government Partnership to Develop Scientific Guidelines for Conservation and Sustainable Usage of Marine Biodiversity,Fisheries,Review,,
10.1109/OCEANS.2008.5151889,Snelgrove,Scientific criteria for conservation and sustainable usage of marine biodiversity in Canada's oceans,Oceans 2008 IEEE - Quebec,,,
10.3354/ame01327,Terrado,Mesopelagic protists: diversity and succession in a coastal Arctic ecosystem,Aquatic Microbial Ecology,,,
10.1029/2011GL048825,Tremblay,Climate forcing multiplies biological productivity in the coastal Arctic Ocean,Geophysical Reserach Letters,,,
10.1016/j.dsr.2012.07.008,Wei,Standing stocks and body size of deep-sea macrofauna: Predicting the baseline of 2010 Deepwater Horizon oil spill in the northern Gulf of Mexico,Deep Sea Research Part I: Oceanographic Research Papers,,,
10.1371/journal.pone.0046707,Wei,Long-Term Observations of Epibenthic Fish Zonation in the Deep Northern Gulf of Mexico,PLoS One,,,
